,0
age,int64
bp,object
height,float64
foot,object
growth,int64
value,float64
wage,float64
release_clause,float64
attacking,int64
crossing,int64
finishing,int64
heading_accuracy,int64
short_passing,int64
volleys,float64
skill,int64
dribbling,int64
curve,float64
fk_accuracy,int64
long_passing,int64
ball_control,int64
movement,int64
acceleration,int64
sprint_speed,int64
agility,float64
reactions,int64
balance,float64
power,int64
shot_power,int64
jumping,float64
stamina,int64
strength,int64
long_shots,int64
mentality,int64
aggression,int64
interceptions,float64
positioning,float64
vision,float64
penalties,int64
composure,float64
defending,int64
marking,int64
standing_tackle,int64
sliding_tackle,float64
goalkeeping,int64
gk_diving,int64
gk_handling,int64
gk_kicking,int64
gk_positioning,int64
gk_reflexes,int64
total_stats,int64
base_stats,int64
w_f,int64
sm,int64
a_w,object
d_w,object
ir,int64
pac,int64
sho,int64
pas,int64
dri,int64
def,int64
phy,int64
ova,int64
weight_lbs,int64
